Map,ID,Lat,Lon,Lat_end,Lon_end,Status,cap_e,cap_p
Main,Rus-Nor,69.7,29.6,68.9,30.8,Existing,,
Main,Rus-Fin2,64.5,31.3,64.5,28.8,Existing,,
Main,Rus-Est,58.3,28.5,58.3,26.7,Existing,,
Main,Rus-Lat,56.8,28.9,56.8,26.9,Existing,,
Main,Bel-Lit2,54.3,26.4,54.95,25.1,Existing,,
Main,Rus-Lit2,54.8,21.9,55.57,21.9,Existing,,
Ukraine,Ukr-Pol,50.8,22.6,50.2,24.4,Existing,2.1,0
Ukraine,Ukr-slo,49,21,48.4,23,Existing,0.8,0.2
Ukraine,Ukr-Hun,47.6,21,48.4,23,Existing,1.6,0
Ukraine,Ukr-Hun2,47.85,20.6,50.2,25.9,Existing,2,0
Ukraine,Ukr-Rom2,45.1,28.3,47.6,30.5,Planned,0,1
Ukraine,Mol-Rom2,44.8,28.1,46,28.4,Planned,0,0.6
Turkey,TUR-ROM,44.16,28.63,41.1,28.95,Planned,0,0.7
Turkey,TUR-BGR,41.6,27.4,42.3,26.3,Existing,2.5,0
Turkey,TUR-GRC,41.5,27.1,41.1,25.7,Existing,1.9,0
Egypt,Gre-Egy,37.9,23.8,35.3,24.7,Planned,0,2
Egypt,Gre-Egy2,35.3,24.7,34.8,33.5,Planned,0,2
Egypt,Gre-Egy3,34.8,33.5,31.4,31.8,Planned,0,2
Egypt,Cre-Isr,34.8,33.5,31.5,34.6,Planned,0,2
Egypt,Gre-Lib,32.1,23.8,33.8,23.8,Planned,,
Egypt,Gre-Lib2,33.8,23.8,35.3,24.7,Planned,0,2
WBalk,Gre-Mac,40.3,22.3,41.5,22.3,Existing,1.6,0.5
WBalk,Gre-Alb,40.4,20.3,40,21.3,Existing,0.5,0
WBalk,MNE-ITA,42.39,14.13,42.05,16.37,Existing,,
WBalk,MNE-ITA,42.05,16.37,42.36,18.73,Existing,0.6,0.6
WBalk,Bos-Cro,44.2,15.6,44.2,17.1,Existing,5.4,0.3
WBalk,Ser-Cro,45.4,18.2,45.4,19.6,Existing,1.4,0.6
WBalk,Mac-Bul,41.8,22.4,41.8,23.6,Existing,0.9,0
WBalk,Ser-Bul,43.2,23.6,43.2,22.3,Existing,1.1,0
WBalk,Ser-Rom,45.8,21.6,45.15,20.5,Existing,1.1,0
WBalk,Ser-Hun2,46.5,19.8,45.5,19.8,Existing,1.1,0
Main,Tun-Ita,37.8,12.8,36.8,10.9,Planned,0,0.6
Main,Tun-Ita2,33.4,8.5,33.9,10,Planned,0,2
Main,Tun-Ita2,33.9,10,36.8,10.1,Planned,,
Main,Tun-Ita2,36.8,10.1,41.4,10.1,Planned,,
Main,Tun-Ita2,41.4,10.1,42.5,11.3,Planned,,
Morocco,Mor-Spa,35.1,-5.9,37,-5.9,Planned,0,0.7
Morocco,Mor-Spa2,35.1,-5.1,37,-5.1,Existing,1.4,0
Morocco,Mor-Por,35.1,-5.9,37.2,-7.7,Planned,0,1
